XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
15735,1.92,2.00,-2.82,1.11
15745,1.92,2.00,-2.71,1.74
15755,1.92,2.00,-2.61,1.59
15765,1.92,2.00,-2.49,1.89
15775,1.90,2.00,-2.33,2.57
15785,1.92,2.00,-2.18,2.38
15795,1.92,2.00,-2.02,2.55
15805,1.92,2.00,-1.83,3.02
15815,1.91,2.00,-1.65,2.87
15825,1.91,2.00,-1.47,2.89
15835,1.92,2.00,-1.29,2.86
15845,1.92,2.00,-1.12,2.73
15855,1.92,2.00,-0.97,2.41
15865,1.93,2.00,-0.83,2.23
15876,1.91,2.00,-0.68,2.43
15885,1.92,2.00,-0.57,1.79
15895,1.92,2.00,-0.49,1.31
15905,1.93,2.00,-0.41,1.31
15916,1.93,2.00,-0.37,0.68
15925,1.93,2.00,-0.37,0.04
15935,1.91,2.00,-0.37,0.10
15945,1.93,2.00,-0.39,-0.27
15955,1.91,2.00,-0.46,-1.01
